doc_sha,doc_title,doc_source,doc_pages,chunker,step_tau,step_precision,step_count_fidelity,precondition_recall,constraint_f1,orphan_constraint_rate,constraint_precision,constraint_recall,n_gold_steps,n_pred_steps,n_gold_constraints,n_pred_constraints
0b453920a3,Otm 50 Release 1,epa,53,semantic,-0.05128205128205128,0.06329113924050633,0.16455696202531644,1.0,0.0,1.0,0.0,0.0,13,79,0,6
0b453920a3,Otm 50 Release 1,epa,53,layout_aware,0.5128205128205128,0.10638297872340426,0.276595744680851,1.0,0.0,1.0,0.0,0.0,13,47,0,7
0b453920a3,Otm 50 Release 1,epa,53,pac,0.41025641025641024,0.037037037037037035,0.09629629629629632,1.0,0.0,1.0,0.0,0.0,13,135,0,21
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,fixed,0.2727272727272727,0.6,0.41666666666666663,1.0,0.0,0.0,0.0,0.0,12,5,0,0
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,recursive,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12,0,0,0
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,semantic,-0.045454545454545456,0.5,0.33333333333333337,1.0,0.0,1.0,0.0,0.0,12,4,0,2
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,layout_aware,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12,0,0,0
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,pac,0.0,0.2,0.8,1.0,0.0,0.0,0.0,0.0,12,15,0,0
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,fixed,0.8666666666666667,0.20833333333333334,0.25,1.0,0.0,0.0,0.0,0.0,6,24,0,0
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,recursive,0.4,0.15789473684210525,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,6,19,0,1
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,semantic,0.9333333333333333,0.11428571428571428,0.17142857142857137,1.0,0.0,1.0,0.0,0.0,6,35,0,1
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,layout_aware,0.4666666666666667,0.19230769230769232,0.23076923076923073,1.0,0.0,0.0,0.0,0.0,6,26,0,0
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,pac,0.6,0.14285714285714285,0.1428571428571429,1.0,0.0,1.0,0.0,0.0,6,42,0,2
bd6dd13a31,Method320 Forweb 1,epa,15,fixed,-0.10714285714285714,0.06060606060606061,0.24242424242424243,1.0,0.0,1.0,0.0,0.0,8,33,2,6
bd6dd13a31,Method320 Forweb 1,epa,15,recursive,0.0,0.0,0.19047619047619047,1.0,0.0,1.0,0.0,0.0,8,42,2,1
bd6dd13a31,Method320 Forweb 1,epa,15,semantic,-0.4642857142857143,0.058823529411764705,0.23529411764705888,1.0,0.0,0.0,0.0,0.0,8,34,2,0
bd6dd13a31,Method320 Forweb 1,epa,15,layout_aware,-0.03571428571428571,0.12195121951219512,0.19512195121951215,1.0,0.0,0.0,0.0,0.0,8,41,2,0
bd6dd13a31,Method320 Forweb 1,epa,15,pac,0.5,0.08,0.07999999999999996,1.0,0.0,1.0,0.0,0.0,8,100,2,1
