url,source,domain,title,page_count,estimated_steps,length_bucket,language,has_steps,has_safety_clauses,license,redistribute_ok,bytes,sha256
https://www.cdc.gov/labs/media/pdfs/2025/08/SF__19a_308133-A_BMBL6_00-BOOK-WEB-final-3.pdf,cdc,chemical,Biosafety in Microbiological and Biomedical Laboratories—6th Edition,614,20,medium,en,True,True,US Gov public domain,yes,4974034,3b789378bd365cac9aa973fae5852dc0f21c7607494264f9305ddf1b23093066
https://www.cdc.gov/labs/pdf/Clarification-on-Service-Animals-Laboratories-Compliance-with-Federal-Laws-and-BMBL-Guidance.pdf,cdc,chemical,Clarification on Service Animals in Laboratories: Compliance with Federal Laws and BMBL Guidance,1,0,short,en,False,False,US Gov public domain,yes,168865,28c1e6142fd10df5445f95e341ec09d66a642350a6a3baf5cd823331d8330dd2
https://www.cdc.gov/about/media/pdfs/cdc-org-chart.pdf,cdc,general,cdc-org-chart,1,0,short,en,False,False,US Gov public domain,yes,234576,de60b786d74d1221b74dfb55aea55c79841103449d68e46e92f15f24b87f95ed
https://www.cdc.gov/other/pdf/Sponsorship-Conferences-9-26-08-CDC.pdf,cdc,general,Securing Approval for Sponsorship of Conferences,11,14,short,en,True,False,US Gov public domain,yes,244206,c0b6acb173ada5a172a70648213e6558b4e6580f67d604f4e9353412f0b9eec8
https://www.cdc.gov/other/pdf/Peer-Review-CDC-20230726.pdf,cdc,general,CATEGORY:  General Administration,7,13,short,en,True,False,US Gov public domain,yes,214315,5fb34d2ba365ad5946c17b1d0b8eb16a9fbfe8c0a10243b53a41940059187c39
https://www.cdc.gov/other/pdf/FSG-Policy-CDC-20230725.pdf,cdc,food,Food Service Guidelines in CDC-Owned or -Operated Dining and Vending Facilities,8,13,short,en,True,False,US Gov public domain,yes,211796,82fccf27ff461fe5cae0fa3e89b37e6d44274f539d38dc637821ba0401aa8199
https://www.cdc.gov/other/pdf/CDC-ET-2007-1_EXT.pdf,cdc,general,Administration of Gifts (Policy 20170329),25,45,long,en,True,False,US Gov public domain,yes,353832,835552e3953884cfe7af9f3f26ef345c5e99a57be243ad7c5dd0aa7f6e460392
https://www.epa.gov/system/files/documents/2025-03/necimemo-20250312.pdf,epa,chemical,Implementing National Enforcement and Compliance Initiatives Consistently with Executive Orders and Agency Priorities,4,1,short,en,False,False,US Gov public domain,yes,246059,5a46a1873655243e35dc341b18c20c5d1509998c6c1422e026ed403cd5d8650d
https://www.epa.gov/system/files/documents/2025-03/implementingnecisconsistentlywitheosandagencypriorities.pdf,epa,chemical,Implementingnecisconsistentlywitheosandagencypriorities,4,1,short,en,False,False,US Gov public domain,yes,244728,42f740d2caad04124d79a5da76b194e12d34660e403bb4b343f5c88400582e5e
https://www.epa.gov/system/files/documents/2024-11/cpm-adjustment-for-ammonium-sulfate-formation-in-m202-results-002_0.pdf,epa,chemical,Cpm Adjustment For Ammonium Sulfate Formation In M202 Results 002 0,3,2,short,en,False,False,US Gov public domain,yes,219893,a6a614a0cd065370c3468e8616a7d230e278b763a1ace95fd459baee3a03c6e7
https://www.epa.gov/system/files/documents/2024-11/otm-59-anion_cation-analysis-of-method-202-samples-final.pdf,epa,chemical,"OTM-59, Method for the Correction of Residual Ammonia in Condensable Particulate Matter Samples Collected according to Method 202",12,4,short,en,True,False,US Gov public domain,yes,451454,270cfd1a5491fb5d747555f2fc29c2947983bf5708882edfea3c8a5d48ba0cf1
https://www.epa.gov/system/files/documents/2024-04/protocol-gas-memo-oaqps-march-11-2024_1.pdf,epa,chemical,UNITED STATES ENVIRONMENTAL PROTECTION AGENCY,2,0,short,en,False,False,US Gov public domain,yes,272096,21443cf055d395a2e4cf1fef9386b48312f5f0624b053ccf283c274fd6816383
https://www.epa.gov/system/files/documents/2024-04/protocol-gas-memo_3-2024.pdf,epa,chemical,Protocol Gas Memo 3 2024,3,0,short,en,False,False,US Gov public domain,yes,208590,f8e37332a18f0af60556d55c0895feb1e9a638707f0ca9327f9f387986b68010
https://www.epa.gov/system/files/documents/2024-02/m320-proposal-factsheet.pdf,epa,chemical,M320 Proposal Factsheet,2,1,short,en,False,False,US Gov public domain,yes,247734,ba50948ccc14b48543b6edfa74d1b1a0a15caa76c39734d63d7b174cf7d3ff34
https://www.epa.gov/system/files/documents/2024-02/method320_forweb_1.pdf,epa,chemical,Method320 Forweb 1,15,5,short,en,True,True,US Gov public domain,yes,762840,bd6dd13a31a09a7238719788d28d0f02bbb717a331e7ad7f4cdeab90ea6e6add
https://www.epa.gov/system/files/documents/2024-02/oil-gas-advanced-methane-technology-alternative-test-method-program-webinar.pdf,epa,chemical,Microsoft Word - Oil & Gas Advanced Methane Technology Alternative Test Method Program Webinar.docx,1,0,short,en,False,False,US Gov public domain,yes,398173,f80283a213b028d8b84749d254899255098cffaafda73c87af1cc130ffeed63e
