doc_sha,doc_title,doc_source,doc_pages,chunker,step_tau,step_precision,step_count_fidelity,precondition_recall,constraint_f1,orphan_constraint_rate,constraint_precision,constraint_recall,n_gold_steps,n_pred_steps,n_gold_constraints,n_pred_constraints
e5da4ad795,Validation of U.S. Environmental Protection Agency Environme,epa,43,pac,0.047619047619047616,0.18518518518518517,0.2777777777777778,0.0,0.14285714285714285,0.18181818181818182,0.1111111111111111,0.2,15,54,4,11
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated Dining and,cdc,8,fixed,0.4,0.2,0.25,0.0,0.0,0.14285714285714285,0.0,0.0,5,20,4,7
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated Dining and,cdc,8,recursive,0.4,0.17391304347826086,0.21739130434782605,0.0,0.0,0.0,0.0,0.0,5,23,4,4
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated Dining and,cdc,8,semantic,0.2,0.23529411764705882,0.2941176470588235,0.0,0.0,0.4,0.0,0.0,5,17,4,5
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated Dining and,cdc,8,layout_aware,0.4,0.19047619047619047,0.23809523809523814,0.0,0.0,0.5,0.0,0.0,5,21,4,4
82fccf27ff,Food Service Guidelines in CDC-Owned or -Operated Dining and,cdc,8,pac,0.4,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,5,18,4,8
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,fixed,0.10541310541310542,0.029411764705882353,0.3970588235294118,0.0,0.0,0.21052631578947367,0.0,0.0,27,68,3,19
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,recursive,0.1452991452991453,0.07692307692307693,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,27,78,3,18
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,semantic,0.14245014245014245,0.13513513513513514,0.7297297297297297,0.0,0.0,0.14285714285714285,0.0,0.0,27,37,3,14
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,layout_aware,0.019943019943019943,0.05714285714285714,0.7714285714285715,0.0,0.0,0.3333333333333333,0.0,0.0,27,35,3,12
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,pac,0.017094017094017096,0.1,0.675,0.0,0.0,0.0,0.0,0.0,27,40,3,6
0b453920a3,Otm 50 Release 1,epa,53,fixed,-0.09090909090909091,0.14516129032258066,0.3548387096774194,0.0,0.0,0.5185185185185185,0.0,0.0,22,62,4,27
0b453920a3,Otm 50 Release 1,epa,53,recursive,0.2510822510822511,0.18181818181818182,0.33333333333333337,0.0,0.08695652173913042,0.4,0.047619047619047616,0.5,22,66,4,30
0b453920a3,Otm 50 Release 1,epa,53,semantic,0.0,0.1951219512195122,0.5365853658536586,0.0,0.0,0.3333333333333333,0.0,0.0,22,41,4,18
0b453920a3,Otm 50 Release 1,epa,53,layout_aware,0.030303030303030304,0.1111111111111111,0.48888888888888893,0.0,0.09999999999999999,0.23809523809523808,0.05555555555555555,0.5,22,45,4,21
0b453920a3,Otm 50 Release 1,epa,53,pac,-0.1038961038961039,0.1951219512195122,0.5365853658536586,0.0,0.0,0.7,0.0,0.0,22,41,4,20
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,fixed,0.27941176470588236,0.35294117647058826,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,17,34,4,6
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,recursive,-0.20588235294117646,0.391304347826087,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,17,23,4,4
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,semantic,-0.029411764705882353,0.32,0.6799999999999999,0.0,0.0,0.0,0.0,0.0,17,25,4,6
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,layout_aware,0.0,0.5,0.7083333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,17,24,4,9
146105dc37,USEPA: FEM: Validation and Peer Review of U.S. Environmental,epa,24,pac,0.3161764705882353,0.3181818181818182,0.38636363636363635,0.5,0.0,0.0,0.0,0.0,17,44,4,17
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. Environmenta,epa,25,fixed,-0.027777777777777776,0.125,0.1607142857142857,0.0,0.0,0.0,0.0,0.0,9,56,2,13
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. Environmenta,epa,25,recursive,0.027777777777777776,0.17073170731707318,0.2195121951219512,0.0,0.0,0.08333333333333333,0.0,0.0,9,41,2,12
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. Environmenta,epa,25,semantic,0.5,0.13333333333333333,0.30000000000000004,0.0,0.4,0.1111111111111111,0.25,1.0,9,30,2,9
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. Environmenta,epa,25,layout_aware,-0.4444444444444444,0.24242424242424243,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,9,33,2,6
4f3770cda3,US EPA: FEM: Validation and Peer Review of U.S. Environmenta,epa,25,pac,0.4444444444444444,0.1875,0.1875,1.0,0.0,0.08333333333333333,0.0,0.0,9,48,2,12
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. Environmenta,epa,23,fixed,0.3619047619047619,0.2926829268292683,0.36585365853658536,0.2857142857142857,0.26666666666666666,0.09090909090909091,0.2,0.4,15,41,3,11
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. Environmenta,epa,23,recursive,0.3904761904761905,0.23404255319148937,0.3191489361702128,0.2857142857142857,0.0,0.1,0.0,0.0,15,47,3,10
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. Environmenta,epa,23,semantic,0.13333333333333333,0.2571428571428571,0.4285714285714286,0.0,0.0,0.0,0.0,0.0,15,35,3,7
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. Environmenta,epa,23,layout_aware,-0.009523809523809525,0.275,0.375,0.5714285714285714,0.0,0.2,0.0,0.0,15,40,3,5
2d1fa86526,US EPA: OSA: Validation and Peer Review of U.S. Environmenta,epa,23,pac,0.580952380952381,0.34146341463414637,0.36585365853658536,0.2857142857142857,0.0,0.07692307692307693,0.0,0.0,15,41,3,13
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,fixed,0.49673202614379086,0.36585365853658536,0.4390243902439024,1.0,0.0,0.23076923076923078,0.0,0.0,18,41,3,13
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,recursive,0.8888888888888888,0.4166666666666667,0.5,0.6666666666666666,0.0,0.35,0.0,0.0,18,36,3,20
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,semantic,0.9869281045751634,0.4186046511627907,0.41860465116279066,1.0,0.0,0.42105263157894735,0.0,0.0,18,43,3,19
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,layout_aware,0.5816993464052288,0.41935483870967744,0.5806451612903225,0.3333333333333333,0.0,0.35714285714285715,0.0,0.0,18,31,3,14
90ccf55f92,D:\EMCNEW\PROPOSED\PS-10.PDF,epa,11,pac,0.4444444444444444,0.34375,0.5625,1.0,0.0,0.21052631578947367,0.0,0.0,18,32,3,19
bd6dd13a31,Method320 Forweb 1,epa,15,fixed,-0.14130434782608695,0.13333333333333333,0.5333333333333333,0.25,0.0,0.35714285714285715,0.0,0.0,24,45,5,14
bd6dd13a31,Method320 Forweb 1,epa,15,recursive,-0.09420289855072464,0.07317073170731707,0.5853658536585367,0.0,0.0,0.3333333333333333,0.0,0.0,24,41,5,27
bd6dd13a31,Method320 Forweb 1,epa,15,semantic,-0.3333333333333333,0.3548387096774194,0.7741935483870968,0.25,0.0,0.7777777777777778,0.0,0.0,24,31,5,9
bd6dd13a31,Method320 Forweb 1,epa,15,layout_aware,-0.036231884057971016,0.16666666666666666,0.75,0.5,0.0,0.0,0.0,0.0,24,18,5,10
bd6dd13a31,Method320 Forweb 1,epa,15,pac,-0.021739130434782608,0.125,0.75,0.25,0.0,0.0,0.0,0.0,24,32,5,11
